code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0988;Weert;Limburg;48720;24335;24385;15;11;23;30;21;80;11;9
0994;Valkenburg aan de Geul;Limburg;16675;8230;8440;12;10;20;32;26;86;12;2
0995;Lelystad;Flevoland;76140;38000;38140;19;11;27;28;14;72;9;19
1507;Horst aan de Maas;Limburg;41725;20975;20750;17;12;22;31;18;91;7;2
1509;Oude IJsselstreek;Gelderland;39595;19830;19765;16;11;21;31;21;87;7;6
1525;Teylingen;Zuid-Holland;35735;17810;17925;18;12;23;30;17;86;9;5
1581;Utrechtse Heuvelrug;Utrecht;47950;23235;24715;17;11;19;30;23;86;8;6
1586;Oost Gelre;Gelderland;29700;15105;14595;17;11;22;31;19;92;5;3
1598;Koggenland;Noord-Holland;22485;11290;11190;19;12;23;29;17;92;5;3
1621;Lansingerland;Zuid-Holland;57120;28370;28750;23;11;27;27;13;84;7;9
1640;Leudal;Limburg;36220;18315;17900;15;11;21;33;20;89;9;2
1641;Maasgouw;Limburg;23905;11985;11920;13;10;20;34;23;87;11;2
1651;Eemsmond;Groningen;15925;8145;7785;17;12;21;31;20;94;4;2
1652;Gemert-Bakel;Noord-Brabant;29315;14810;14500;17;12;24;31;17;92;6;2
1655;Halderberge;Noord-Brabant;29340;14565;14770;15;11;22;31;21;87;6;7
1658;Heeze-Leende;Noord-Brabant;15350;7765;7585;16;11;20;32;22;91;7;2
1659;Laarbeek;Noord-Brabant;21800;11010;10790;17;11;22;30;19;93;5;2
1663;De Marne;Groningen;10210;5180;5025;16;10;21;31;21;95;4;1
1667;Reusel-De Mierden;Noord-Brabant;12710;6510;6200;17;12;24;32;16;92;6;2
1669;Roerdalen;Limburg;20830;10420;10410;14;10;21;33;22;83;14;3
1671;Maasdonk;Noord-Brabant;11240;5660;5580;17;13;21;32;17;94;4;2
1674;Roosendaal;Noord-Brabant;77025;38035;38990;16;11;24;29;19;77;10;13
1676;Schouwen-Duiveland;Zeeland;33850;16750;17100;15;10;21;30;24;92;6;2
1680;Aa en Hunze;Drenthe;25355;12600;12755;16;9;19;34;23;94;4;2
1681;Borger-Odoorn;Drenthe;25625;12795;12830;16;10;20;32;22;95;4;1
1684;Cuijk;Noord-Brabant;24780;12375;12405;17;11;24;30;18;81;10;9
1685;Landerd;Noord-Brabant;15265;7770;7495;17;12;21;31;18;94;4;2
1690;De Wolden;Drenthe;23580;11800;11785;17;11;20;31;21;96;3;1
1695;Noord-Beveland;Zeeland;7530;3770;3760;14;9;22;30;24;90;8;2
1696;Wijdemeren;Noord-Holland;23185;11345;11840;16;10;19;32;22;88;8;4
1699;Noordenveld;Drenthe;31085;15460;15625;16;10;20;31;24;93;5;2
1700;Twenterand;Overijssel;33930;17195;16735;20;12;24;27;16;95;3;2
1701;Westerveld;Drenthe;18930;9445;9490;15;9;19;31;26;94;4;2
1702;Sint Anthonis;Noord-Brabant;11690;6030;5660;17;12;20;32;18;95;4;1
1705;Lingewaard;Gelderland;45775;22730;23045;18;10;23;31;17;90;7;3
1706;Cranendonck;Noord-Brabant;20345;10260;10080;16;11;22;31;20;85;12;3
1708;Steenwijkerland;Overijssel;43350;21660;21690;17;11;22;29;20;93;4;3
1709;Moerdijk;Noord-Brabant;36730;18375;18350;17;10;23;30;19;90;6;4
1711;Echt-Susteren;Limburg;31975;16000;15970;13;10;21;34;21;83;14;3
1714;Sluis;Zeeland;23820;11745;12075;13;9;21;31;25;76;22;2
1719;Drimmelen;Noord-Brabant;26695;13330;13360;16;11;22;32;19;93;5;2
1721;Bernheze;Noord-Brabant;29690;14960;14725;18;12;22;30;18;93;5;2
1722;Ferwerderadiel;Friesland;8790;4470;4320;20;11;23;29;18;94;4;2
1723;Alphen-Chaam;Noord-Brabant;9715;4920;4795;16;11;21;32;20;87;11;2
1724;Bergeijk;Noord-Brabant;18255;9255;9000;16;12;21;31;20;91;7;2
1728;Bladel;Noord-Brabant;19835;10055;9780;17;11;23;30;19;90;7;3
1729;Gulpen-Wittem;Limburg;14485;7270;7210;12;10;19;34;24;87;12;1
1730;Tynaarlo;Drenthe;32490;16005;16485;17;9;19;31;23;93;5;2
1731;Midden-Drenthe;Drenthe;33365;16650;16715;17;11;21;31;20;94;4;2
1734;Overbetuwe;Gelderland;46665;23180;23485;19;11;24;29;16;89;7;4
1735;Hof van Twente;Overijssel;34995;17380;17615;17;10;21;29;23;92;5;3
1740;Neder-Betuwe;Gelderland;22555;11270;11285;22;14;23;26;15;94;4;2
1742;Rijssen-Holten;Overijssel;37660;18725;18935;21;13;24;25;17;93;3;4
1771;Geldrop-Mierlo;Noord-Brabant;38855;19300;19555;17;11;24;30;19;84;9;7
1773;Olst-Wijhe;Overijssel;17770;8985;8785;18;11;21;31;19;93;4;3
1774;Dinkelland;Overijssel;25945;13245;12700;18;13;20;30;19;93;6;1
1783;Westland;Zuid-Holland;103240;51410;51830;17;13;24;28;17;87;8;5
1842;Midden-Delfland;Zuid-Holland;18455;9330;9120;18;13;22;30;16;90;6;4
1859;Berkelland;Gelderland;44665;22470;22195;17;11;21;30;21;93;5;2
1876;Bronckhorst;Gelderland;36930;18370;18560;16;11;19;32;22;95;4;1
1883;Sittard-Geleen;Limburg;93690;46125;47565;14;11;23;32;21;79;15;6
1884;Kaag en Braassem;Zuid-Holland;25745;13050;12695;17;12;22;31;18;92;5;3
1891;Dantumadiel;Friesland;19030;9540;9490;18;12;22;29;19;97;2;1
1892;Zuidplas;Zuid-Holland;40890;20270;20620;18;13;23;30;16;85;8;7
1894;Peel en Maas;Limburg;43315;21950;21360;16;12;22;31;18;90;7;3
1895;Oldambt;Groningen;38560;19045;19510;15;10;22;31;22;90;7;3
1896;Zwartewaterland;Overijssel;22165;11240;10925;22;14;25;25;15;95;3;2
1900;Sudwest-Fryslan;Friesland;84180;42075;42105;18;11;23;29;20;92;5;3
1901;Bodegraven-Reeuwijk;Zuid-Holland;32910;16405;16500;19;12;23;28;18;89;6;5
1903;Eijsden-Margraten;Limburg;24980;12500;12480;14;12;20;33;22;88;10;2
1904;Stichtse Vecht;Utrecht;63855;31250;32605;18;11;23;31;17;83;9;8
1908;Menameradiel;Friesland;13670;6985;6685;18;11;22;30;19;95;4;1
1911;Hollands Kroon;Noord-Holland;47500;24030;23470;18;11;23;30;18;91;6;3
1916;Leidschendam-Voorburg;Zuid-Holland;73355;35090;38265;16;10;25;28;22;71;14;15
1921;De Friese Meren;Friesland;51415;25890;25520;18;11;22;29;20;93;5;2
1924;Goeree-Overflakkee;Zuid-Holland;48245;23855;24390;18;11;23;29;19;94;4;2
1926;Pijnacker-Nootdorp;Zuid-Holland;51070;25450;25620;22;12;26;27;13;82;8;10
1927;Molenwaard;Zuid-Holland;29030;14745;14285;22;14;23;26;16;95;3;2
1955;Montferland;Gelderland;34985;17495;17490;16;11;21;32;21;89;8;3
1987;Menterwolde;Groningen;12255;6220;6035;16;11;22;33;18;94;4;2
