code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0226;Duiven;Gelderland;25610;12595;13010;18;13;22;33;15;87;8;5
0228;Ede;Gelderland;110655;54300;56355;19;14;24;27;17;85;7;8
0230;Elburg;Gelderland;22645;11205;11435;20;12;25;26;18;95;3;2
0232;Epe;Gelderland;32350;15985;16365;16;11;21;30;23;89;6;5
0233;Ermelo;Gelderland;26045;12880;13160;16;13;21;29;21;90;6;4
0236;Geldermalsen;Gelderland;26300;13015;13285;19;12;22;29;17;92;5;3
0241;Groesbeek;Gelderland;18975;9345;9630;14;12;20;31;22;87;10;3
0243;Harderwijk;Gelderland;45730;22500;23230;19;11;27;26;16;83;6;11
0244;Hattem;Gelderland;11730;5755;5975;18;11;22;28;21;93;4;3
0246;Heerde;Gelderland;18490;9090;9395;17;11;22;29;21;95;3;2
0252;Heumen;Gelderland;16335;8120;8210;17;11;19;33;21;88;9;3
0262;Lochem;Gelderland;33245;16320;16925;16;10;18;31;25;90;6;4
0263;Maasdriel;Gelderland;24155;12210;11945;18;11;24;31;17;91;7;2
0265;Millingen aan de Rijn;Gelderland;5875;2940;2935;17;10;21;34;18;85;12;3
0267;Nijkerk;Gelderland;40635;20230;20405;20;12;25;27;17;90;5;5
0268;Nijmegen;Gelderland;168290;80680;87610;14;18;28;25;14;75;12;13
0269;Oldebroek;Gelderland;22835;11495;11340;19;12;24;29;16;95;3;2
0273;Putten;Gelderland;23870;11850;12020;19;13;23;27;18;93;4;3
0274;Renkum;Gelderland;31580;15300;16280;16;10;19;31;25;85;10;5
0275;Rheden;Gelderland;43640;21305;22335;15;11;21;29;25;85;9;6
0277;Rozendaal;Gelderland;1500;740;760;18;10;14;31;27;86;10;4
0279;Scherpenzeel;Gelderland;9495;4685;4810;21;13;24;24;17;94;4;2
0281;Tiel;Gelderland;41775;20770;21005;18;12;26;28;15;76;9;15
0282;Ubbergen;Gelderland;9450;4695;4755;15;10;20;31;24;87;11;2
0285;Voorst;Gelderland;23765;11875;11890;16;12;20;32;21;92;5;3
