PC4;X;Y
1384;131721.864515625;481853.870593359
1391;126276.60755732;476671.589136128
1393;131125.629824357;475903.623230145
1394;131587.246085218;475151.219163515
1396;127656.355768455;472833.147423691
1398;132961.182184461;482436.059774812
1399;135935.564036292;481264.872282507
1401;140307.053655721;476838.243115921
1402;140464.05872228;475926.19801599
1403;140927.5164919;475384.13491134
1404;139656.143352495;476286.042897412
1405;138900.461754545;476578.449421531
1406;138852.1977075;475374.999965192
1411;140838.47606412;478965.554612509
1412;138002.599017749;478028.226246754
1421;116936.583081801;472385.701291868
1422;116696.57212115;473235.924686464
1423;115644.943248533;471797.989901345
1424;113899.56449487;472542.519636543
1426;115819.112524785;468885.617175986
1427;117732.474232321;471992.979081786
1428;114046.311133088;471192.570819853
1431;111116.142958684;474312.057646249
1432;114151.469612198;476841.378808177
1433;111097.250571327;472301.298352607
1435;108140.984790448;474804.727969786
1436;111549.648864628;476451.13320984
1437;110375.701051012;477261.519164575
1438;113482.790267521;477753.986100427
1441;125494.057509069;501838.219971221
1442;126384.489647099;503172.304940746
1443;126756.342791304;502402.580176957
1444;126543.456400835;503906.380718865
1445;127748.586828485;501528.33209899
1446;128630.399233977;502875.882005019
1447;126538.883580352;500181.477510557
1448;124415.278295487;501093.760007581
1451;123445.306234518;499414.328112183
1452;126485.155534505;497969.048601278
1454;125795.26185815;493750.861196035
1456;120657.389395068;500838.344365479
1458;117656.590085937;504989.051425521
1461;124793.935043939;504776.017719318
1462;123875.166622392;506828.968901534
1463;125285.49190535;511581.057287654
1464;119784.229725684;507025.501240842
1471;127184.034844279;504743.871132203
1472;130127.060115461;505725.269477307
1473;130744.226733682;507006.160896025
1474;128966.491714035;509722.80384705
1475;126932.483141553;511780.959436117
1476;129874.688177528;513862.017028652
1477;127162.487840828;506238.888650296
1481;130369.640729119;502323.480964751
1482;128519.944937946;498865.232769643
1483;118415.789710227;508116.470664091
1484;116769.630968365;508379.626501072
1485;117111.984303535;509492.462261363
1486;115130.208291511;508300.872962112
1487;116476.213576836;506675.010372316
1488;115146.913637725;505971.342432635
1489;112817.337927273;507473.709224675
1501;117274.460986808;494739.165412553
1502;117065.981861201;495608.322724188
1503;117798.821928103;495493.644805564
1504;118276.427781229;494675.158937542
1505;118005.052908344;493517.051083311
1506;116619.331902602;494413.67890855
1507;115201.052661454;494847.68853
1508;116793.286828218;496795.846237376
1509;117002.981199366;498312.244538689
1511;120758.424145802;495490.637265951
1521;114396.206034034;501208.755698319
1525;113907.339052362;503303.421671654
1531;116417.317479242;500917.646608485
1534;115583.967916327;504118.878752721
1536;113958.1630592;504467.5630088
1541;115273.107909357;497148.97627037
1544;115340.823851032;498677.963768437
1546;119124.442562201;502241.482533014
1551;113661.031590458;496456.930093639
1561;112972.485523577;501951.750739837
1562;112513.727507524;502593.98137907
1566;110693.754664917;498561.592143333
1567;111746.939255525;500521.609222376
1601;146973.964546556;526297.80686832
1602;147037.216711446;525402.028273193
1606;143623.114121854;519785.264482119
1607;141089.86772758;519598.401286116
1608;139157.428859732;517250.807918121
1609;142247.807148905;517199.949521898
1611;144895.204126757;522109.032553964
1613;143947.039892697;523463.741222057
1614;142742.548731762;523351.440531557
1616;141109.15497759;523291.574847569
1617;138055.759811877;521262.250734866
1619;143267.224389907;527117.270436388
1621;134618.931139758;515864.154324722
1622;131304.230867097;516989.475469355
1623;133878.483455867;517408.422135969
1624;132663.512517631;517704.317697038
1625;132495.487588413;518776.958437302
1627;135456.583128137;517077.164217871
1628;135377.740093237;518384.773068116
1631;127091.2491938;512879.3951856
1633;125955.316028596;514766.047935614
1634;129470.23084726;515326.876714383
1636;121070.732632267;513192.286178198
1641;124648.378508;517563.720843429
1642;125601.307875524;517533.686179021
1643;124944.16897037;519617.145524603
1645;122303.219917444;516141.801017241
1646;120368.169017742;515264.3971
1647;129294.160215753;517817.682362544
1648;126081.149592548;515718.984717067
1652;127078.556058696;520094.500606703
1654;130688.291329511;524682.58735921
1655;129422.16031126;524804.054174799
1657;130112.892976119;526919.857137313
1658;130588.522275316;528855.603705696
1661;127681.204234978;528255.119486099
1662;128968.355157664;526526.222015329
1663;128929.207107792;526013.543600649
1671;135798.140651227;529694.137184779
1674;133991.026094964;530108.021008633
1676;132198.587376459;528192.502062374
1678;134644.639848059;526613.671580251
1679;133394.170994099;525492.997188197
1681;138956.968974619;524316.402084264
1682;135642.206999126;523005.527827074
1683;138281.584032065;524581.661704348
1684;136194.489808219;522869.12427637
1685;133119.65977489;521100.963030837
1686;132735.877078614;521254.332750301
1687;129612.985663659;521840.846155872
1688;132665.278896428;522610.088956072
1689;133179.788550279;519887.054107103
1691;135166.381605138;524397.970579842
1692;136653.958238194;526094.6166625
1693;138631.37635218;527159.231944585
1695;135091.978744859;518847.590512542
1696;136471.190608128;519744.229038424
1697;137004.613308742;516956.543574627
1701;119176.508603196;520309.19698988
1702;118098.89266601;519548.489592913
1703;116868.894161784;518131.240487158
1704;117000.274912841;521103.848242952
1705;116736.458494323;517877.904849807
1706;119537.411730333;520253.506520333
1711;121517.387427505;518721.460498821
1713;122217.031109583;521057.922788125
1715;125199.354818597;522751.911588567
1716;124846.788539092;523931.605168979
1718;124332.642792321;526326.491133106
1719;126258.690482609;528951.266829519
1721;115351.270092426;521382.001352314
1722;115776.055977403;522690.234182462
1723;114841.688251639;523466.011138115
1724;114182.722055113;524457.481499354
1731;123011.928417792;529697.362066234
1732;120700.486829048;531947.652591319
1733;121911.488975481;528060.928254557
1734;120784.344111173;525952.377493017
1735;119055.645788521;528284.457118543
1736;117857.415031595;528540.694868098
1738;116734.459018545;527018.77585
1741;116093.651292543;534178.165737775
1742;114399.674945103;532760.032564087
1744;111690.838191043;530230.639571288
1746;114743.559636115;528377.105182549
1747;112929.467904405;527561.322812996
1749;110827.92748951;525741.426874301
1751;112270.954328465;535846.249020864
1752;110243.769233148;532395.092474095
1753;108772.754151376;533788.753544954
1754;108936.271793103;529204.132709331
1755;106628.508290043;532340.338835498
1756;111793.185134694;537746.704587755
1757;116034.188188773;537078.628897911
1759;110806.565052941;540485.157225981
1761;117478.861005714;541980.641769075
1764;115419.081870333;544163.3346975
1766;119812.571465321;536401.276214495
1767;121452.504829376;534106.737747887
1768;119410.537552089;534006.97593812
1769;117594.976958974;531375.543691795
1771;132672.635147138;539885.559117508
1773;134433.494175862;539437.643406896
1774;127040.362570572;542056.299405586
1775;129949.611982403;532951.70129915
1777;127196.186658398;547341.944097851
1778;124452.792789247;545292.56323414
1779;131597.87059147;550341.40548647
1781;115147.01562487;551328.944533333
1782;112325.602487084;552131.16142681
1783;110945.862582616;550603.967558348
1784;111894.96828012;550370.830966466
1785;114200.867527873;549742.631277751
1786;114862.617426432;548383.464347137
1787;112046.511447724;545522.112481938
1788;111563.520577307;544968.217308978
1789;110571.894703704;551262.814337449
1791;114217.039314717;563278.40578655
1792;122223.820624913;564041.065796886
1793;116731.715260425;566188.454285319
1794;120790.726884295;567523.258625
1795;117430.069176628;571198.812201341
1796;113953.817214453;567806.174186849
1797;112446.484711699;559674.544879648
1811;111777.766171021;516167.550428266
1812;112587.335293675;514555.336448645
1813;112027.197824204;514996.062942463
1814;111376.033668951;515032.04365803
1815;111253.177577298;516107.991318011
1816;109934.2847;516379.798484586
1817;110883.318969574;518341.022752738
1821;112782.946921885;515697.743107071
1822;113965.118395946;518388.166688031
1823;112866.583119435;516863.25010106
1824;112060.613183929;517627.521867857
1825;112033.657654342;519421.249204202
1826;112817.478120494;519194.018363951
1827;112742.389542096;520081.887052405
1829;113415.772737231;516588.690173508
1831;112362.443095769;520630.25489
1832;112020.567847851;522248.627885387
1834;114317.139621751;519787.904299204
1841;115153.8304701;514591.372183166
1842;117540.371519154;516328.28284098
1843;118725.919527259;510512.685931853
1844;115801.928332433;510372.025352703
1846;113996.836868421;509507.948870445
1847;113331.719453268;511787.679302941
1851;109194.191277685;512484.256168982
1852;107875.553507253;512897.009590278
1853;108381.78129;511970.808012
1861;107024.349329905;520344.041984858
1862;109707.896121828;520512.794030971
1865;105084.687694035;519650.912902456
1871;107675.122580187;524109.809386881
1873;106359.822403788;525946.606769697
1901;105169.842559909;507707.930008396
1902;106713.919045281;506259.854423178
1906;107927.562730095;508908.741384762
1911;110013.758222107;503737.24836468
1921;110928.782294133;509720.385260267
1931;103974.516018381;515307.129649672
1934;105676.390748696;515008.703634823
1935;104639.67607358;511586.624936195
1941;105568.869997305;499824.481460108
1942;104842.855467151;499537.663703779
1943;104006.294940498;500478.655109615
1944;104813.180787548;500787.624628755
1945;105712.821738755;501103.676236595
1946;106649.390250926;500843.74376466
1947;107325.552078773;499742.07213169
1948;106811.848288335;499338.173910536
1949;101975.957238914;500882.041369231
1951;103237.408734741;498897.765286921
1961;106395.849553634;502803.010024311
1962;106782.116719152;503089.709484795
1963;107287.665035104;503694.31946582
1964;105978.816082201;502494.30833103
1965;106115.284632185;501821.144824228
1966;106850.276298228;501181.900144094
1967;108068.212932502;501526.575284947
1968;105665.051787268;504474.879863926
1969;103797.97971055;503140.98044725
1971;102740.047971041;496444.089270249
1972;102370.421761402;496617.305519906
1973;101588.588253879;496736.651967241
1974;100415.267402107;495686.408228849
1975;101761.717021489;498539.113638723
1976;100109.174248527;496675.748698267
1981;106235.049126793;495117.173767829
1985;103882.03238806;495803.443925124
1991;106075.158291656;494023.916159418
1992;106024.780027545;493644.402928743
